name,round_number,damage_type,damage_code,total
cabdf57e-f606-447c-8947-8167110ac52b,254,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,255,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,256,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,257,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,258,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,259,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,260,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,261,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,262,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,263,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,264,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,265,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,266,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,267,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,268,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,269,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,270,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,271,Piercing,1d6 + 2,13
cabdf57e-f606-447c-8947-8167110ac52b,272,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,273,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,274,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,275,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,276,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,277,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,278,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,279,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,280,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,281,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,282,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,283,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,284,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,285,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,286,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,287,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,288,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,289,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,290,Piercing,1d6 + 2,10
cabdf57e-f606-447c-8947-8167110ac52b,291,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,292,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,293,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,294,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,295,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,296,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,297,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,298,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,299,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,300,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,301,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,302,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,303,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,304,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,305,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,306,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,307,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,308,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,309,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,310,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,311,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,312,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,313,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,314,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,315,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,316,Piercing,1d6 + 2,9
cabdf57e-f606-447c-8947-8167110ac52b,317,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,318,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,319,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,320,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,321,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,322,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,323,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,324,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,325,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,326,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,327,Piercing,1d6 + 2,8
